dataset,model,objective,method,seed,model_path,meta_path,runtime_seconds,Retain,Forget,Val,Test,Val MIA,Test MIA,status,error_message
cifar10,resnet18,objective10,gradient_ascent,7,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/gradient_ascent/10_resnet18_7.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/gradient_ascent/10_resnet18_7_meta.txt,4.201603174209595,0.8323921568627451,0.8195294117647058,0.7545333333333333,0.7527,0.5385882352941176,0.534235294117647,ok,
cifar10,resnet18,objective10,gradient_ascent,8,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/gradient_ascent/10_resnet18_8.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/gradient_ascent/10_resnet18_8_meta.txt,4.356662034988403,0.842797385620915,0.831764705882353,0.7652,0.7634,0.5376470588235293,0.5430588235294118,ok,
cifar10,resnet18,objective10,gradient_ascent,9,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/gradient_ascent/10_resnet18_9.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/gradient_ascent/10_resnet18_9_meta.txt,4.106256008148193,0.8662483660130719,0.8508235294117648,0.7893333333333333,0.7933,0.5278823529411765,0.5169411764705882,ok,
cifar10,resnet18,objective10,influence,0,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_0.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_0_meta.txt,30.16440486907959,0.9402091503267974,0.9310588235294116,0.8328,0.8253,0.5556470588235294,0.5628235294117647,ok,
cifar10,resnet18,objective10,influence,1,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_1.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_1_meta.txt,33.171276807785034,0.949359477124183,0.9357647058823528,0.8392,0.8308,0.5492941176470587,0.5647058823529412,ok,
cifar10,resnet18,objective10,influence,2,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_2.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_2_meta.txt,30.281411170959476,0.951032679738562,0.9404705882352942,0.848,0.8404,0.5592941176470588,0.5490588235294117,ok,
cifar10,resnet18,objective10,influence,3,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_3.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_3_meta.txt,28.70380187034607,0.9482091503267974,0.9381176470588236,0.8338666666666666,0.8417,0.5611764705882352,0.5442352941176469,ok,
cifar10,resnet18,objective10,influence,4,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_4.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_4_meta.txt,32.017141342163086,0.8985098039215687,0.8927058823529411,0.8105333333333333,0.8072,0.5497647058823529,0.5394117647058823,ok,
cifar10,resnet18,objective10,influence,5,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_5.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_5_meta.txt,33.499210357666016,0.9504836601307188,0.9395294117647058,0.8528,0.8434,0.5517647058823529,0.5537647058823529,ok,
cifar10,resnet18,objective10,influence,6,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_6.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_6_meta.txt,29.487460374832157,0.9598692810457516,0.951764705882353,0.8525333333333334,0.8511,0.5703529411764705,0.5583529411764705,ok,
